Q114248183	Len	""A Comparative Study on Core Self-Evaluation, Personality & Coping Among College Students & Working Professionals""
Q111840863	Len	""I cannot <i>live</i> without a macaroon!": Food, Hunger, and the Dangers of Modern American Culture in Edna St. Vincent Millay's <i>Aria da Capo</i>"
Q56697974	Len	""I plan to be a great mathematician": AN NFL Lineman Shows He's One of Us"
Q56697974	Lnl	""I plan to be a great mathematician": AN NFL Lineman Shows He's One of Us"
Q113333741	Len	""Index Petrefactorum" – Ein Katalog der Petrefaktensammlung der Gesellschaft Naturforschender Freunde zu Berlin aus dem 18. Jahrhundert"
Q114625991	Len	""It is God who Speaks in the Thunder . . .": Mediating Ontologies of Faith and Fear in Aboriginal Christianity>"
Q113258053	Len	""Pollinators & Pollination: Nature and Society" by Jeff Ollerton, 2021. [book review]"
Q114258655	Len	"#1 Most Cited in Food Science & Technology 71,104 Citations"
Q113859718	Len	"$38.75 (cloth), 197 ppEdward Beltrami, Mathematical Models in the Social and Biological Sciences, Jones & Bartlett, New York (1993)."
Q104918081	Len	"Über Lycoris-Alkaloide (VII. Mitteil.)"
Q104918081	Lnl	"Über Lycoris-Alkaloide (VII. Mitteil.)"
Q105385980	Len	"Über Mikro-phyllinsäure, ein neues Depsid aus Cetraria collata f. micro-phyllina A. Zahlbruckner"
Q105385980	Lnl	"Über Mikro-phyllinsäure, ein neues Depsid aus Cetraria collata f. micro-phyllina A. Zahlbruckner"
Q105224457	Len	"Über das ätherische Öl von Asarum Sieboldi var.Seoulensis Nakai. (I. Mitteilung.)"
Q105224457	Lnl	"Über das ätherische Öl von Asarum Sieboldi var.Seoulensis Nakai. (I. Mitteilung.)"
Q105255613	Len	"Über das Alkaloid von Skimmia repens, Nakai"
Q105255613	Lnl	"Über das Alkaloid von Skimmia repens, Nakai"
Q104977338	Len	"Über das Flavanon-Glucosid in Glycyrrhiza glabra L. var. glandulifera, Regel et Herder"
Q104977338	Lnl	"Über das Flavanon-Glucosid in Glycyrrhiza glabra L. var. glandulifera, Regel et Herder"
Q104992784	Len	"Über das Vorhandensein von Dulcit in <I>Cassytha filiformis</I> L"
Q104992784	Lnl	"Über das Vorhandensein von Dulcit in <I>Cassytha filiformis</I> L"
Q105299915	Len	"Über das Vorkommen von Norstictinsäure in Parmelia acetabulum Ach"
